datetime,machineID,errorID
1/3/2015 7:00,1,error1
1/3/2015 20:00,1,error3
1/4/2015 6:00,1,error5
1/10/2015 15:00,1,error4
1/22/2015 10:00,1,error4
1/25/2015 15:00,1,error4
1/27/2015 4:00,1,error1
3/3/2015 22:00,1,error2
3/5/2015 6:00,1,error1
3/20/2015 18:00,1,error1
3/26/2015 1:00,1,error2
3/31/2015 23:00,1,error1
4/19/2015 6:00,1,error2
4/19/2015 6:00,1,error3
4/29/2015 19:00,1,error4
5/4/2015 23:00,1,error2
5/12/2015 9:00,1,error1
5/21/2015 7:00,1,error4
5/24/2015 2:00,1,error3
5/25/2015 5:00,1,error1
6/9/2015 6:00,1,error3
6/18/2015 6:00,1,error5
6/23/2015 10:00,1,error3
8/23/2015 19:00,1,error1
8/30/2015 1:00,1,error3
9/1/2015 6:00,1,error5
9/13/2015 17:00,1,error2
9/15/2015 6:00,1,error1
10/1/2015 23:00,1,error1
10/15/2015 5:00,1,error1
10/16/2015 3:00,1,error3
10/16/2015 6:00,1,error2
10/16/2015 6:00,1,error3
11/10/2015 4:00,1,error3
12/15/2015 6:00,1,error5
1/12/2015 14:00,2,error4
2/6/2015 10:00,2,error4
2/11/2015 11:00,2,error1
3/11/2015 22:00,2,error2
3/18/2015 6:00,2,error1
3/18/2015 6:00,2,error2
3/18/2015 6:00,2,error3
3/26/2015 3:00,2,error2
3/27/2015 17:00,2,error3
4/17/2015 6:00,2,error2
4/17/2015 6:00,2,error3
5/7/2015 8:00,2,error2
5/13/2015 10:00,2,error1
5/30/2015 20:00,2,error5
6/18/2015 14:00,2,error5
7/18/2015 6:00,2,error4
7/20/2015 10:00,2,error2
7/23/2015 2:00,2,error1
8/3/2015 10:00,2,error1
8/18/2015 22:00,2,error5
8/23/2015 10:00,2,error2
8/28/2015 8:00,2,error2
9/16/2015 13:00,2,error4
9/19/2015 21:00,2,error4
9/23/2015 19:00,2,error2
11/8/2015 21:00,2,error3
12/28/2015 6:00,2,error2
12/28/2015 6:00,2,error3
1/6/2015 6:00,3,error2
1/6/2015 6:00,3,error3
1/8/2015 2:00,3,error1
1/11/2015 5:00,3,error1
1/11/2015 19:00,3,error3
1/28/2015 17:00,3,error4
2/5/2015 6:00,3,error1
2/23/2015 6:00,3,error4
3/2/2015 11:00,3,error4
3/21/2015 16:00,3,error3
4/6/2015 16:00,3,error2
4/9/2015 9:00,3,error3
4/26/2015 19:00,3,error2
5/6/2015 19:00,3,error4
5/24/2015 15:00,3,error2
6/10/2015 21:00,3,error4
6/27/2015 7:00,3,error1
7/9/2015 21:00,3,error4
7/18/2015 19:00,3,error1
7/20/2015 6:00,3,error2
7/20/2015 6:00,3,error3
7/25/2015 23:00,3,error4
7/29/2015 17:00,3,error1
8/2/2015 15:00,3,error1
8/7/2015 4:00,3,error2
9/8/2015 4:00,3,error1
9/13/2015 11:00,3,error1
9/18/2015 10:00,3,error2
10/1/2015 2:00,3,error5
